"idInvoice","creationDate","idCustomer","idSeller","lastDate"
121807,"2019-07-17 19:56:50",23741,6945,"2020-06-23 14:25:26"
121808,"2019-07-28 11:18:26",23741,6945,"2020-06-23 14:25:26"
121809,"2019-08-28 03:25:46",23741,5486,"2020-06-23 14:25:26"
121810,"2019-09-22 11:45:12",23741,5496,"2020-06-23 14:25:26"
121811,"2019-10-23 00:44:06",23741,5486,"2020-06-23 14:25:26"
121812,"2019-10-26 09:24:40",23741,5496,"2020-06-23 14:25:26"
121813,"2019-06-26 21:31:44",23742,5486,"2020-06-23 14:25:26"
121814,"2019-07-05 13:53:52",23742,5495,"2020-06-23 14:25:26"
121815,"2019-08-04 19:24:42",23742,5508,"2020-06-23 14:25:26"
121816,"2019-08-23 22:35:00",23742,6951,"2020-06-23 14:25:26"
121817,"2019-09-15 20:44:20",23742,6951,"2020-06-23 14:25:26"
121818,"2019-09-30 05:56:00",23742,5495,"2020-06-23 14:25:26"
121819,"2019-10-03 15:31:42",23742,5486,"2020-06-23 14:25:26"
121820,"2019-10-18 04:07:38",23742,5495,"2020-06-23 14:25:26"
121821,"2019-10-25 22:39:30",23742,6951,"2020-06-23 14:25:26"
121822,"2019-11-02 19:28:16",23742,5486,"2020-06-23 14:25:26"
121823,"2019-12-03 20:19:42",23742,6951,"2020-06-23 14:25:26"
121824,"2019-12-17 13:33:44",23742,5495,"2020-06-23 14:25:26"
121825,"2019-12-23 21:55:30",23742,5498,"2020-06-23 14:25:26"
121826,"2020-01-01 07:34:14",23742,5498,"2020-06-23 14:25:26"
121827,"2020-01-06 17:25:28",23742,5498,"2020-06-23 14:25:26"
121828,"2011-07-04 17:10:06",23743,6945,"2020-06-23 14:25:26"
121829,"2011-07-27 21:04:56",23743,5486,"2020-06-23 14:25:26"
121830,"2011-08-10 20:12:22",23743,6945,"2020-06-23 14:25:26"
121831,"2011-09-03 06:34:06",23743,6951,"2020-06-23 14:25:26"
121832,"2009-07-16 07:02:22",23744,5495,"2020-06-23 14:25:26"
121833,"2009-08-13 12:36:30",23744,5498,"2020-06-23 14:25:26"
121834,"2009-09-13 14:52:40",23744,6945,"2020-06-23 14:25:26"
121835,"2009-09-25 23:16:16",23744,6945,"2020-06-23 14:25:26"
121836,"2009-10-01 01:48:26",23744,5486,"2020-06-23 14:25:26"
121837,"2009-10-11 07:49:46",23744,5508,"2020-06-23 14:25:26"
121838,"2009-11-03 17:38:08",23744,6951,"2020-06-23 14:25:26"
121839,"2009-11-19 13:04:52",23744,6945,"2020-06-23 14:25:26"
121840,"2009-11-26 09:50:38",23744,5486,"2020-06-23 14:25:26"
121841,"2009-12-03 10:22:40",23744,5486,"2020-06-23 14:25:26"
121842,"2009-12-17 20:24:14",23744,5495,"2020-06-23 14:25:26"
121843,"2009-12-21 21:34:12",23744,5496,"2020-06-23 14:25:26"
121844,"2010-01-05 01:36:38",23744,5486,"2020-06-23 14:25:26"
121845,"2010-01-18 08:58:02",23744,6945,"2020-06-23 14:25:26"
121846,"2010-01-23 16:13:18",23744,5486,"2020-06-23 14:25:26"
121847,"2010-02-15 07:19:22",23744,6951,"2020-06-23 14:25:26"
121848,"2010-03-02 19:15:26",23744,6951,"2020-06-23 14:25:26"
121849,"2010-03-17 06:53:04",23744,6951,"2020-06-23 14:25:26"
121850,"2010-03-22 13:08:36",23744,6951,"2020-06-23 14:25:26"
121851,"2019-07-17 01:01:14",23745,5486,"2020-06-23 14:25:26"
121852,"2019-07-21 06:55:30",23745,5486,"2020-06-23 14:25:26"
121853,"2019-07-28 06:22:10",23745,5486,"2020-06-23 14:25:26"
